LPI_Rank,LPI_Round_Pick,Player_Name,Position,Pos_Rank,Team,LPI_Predicted_PPG,Pos_Replacement_PPG,Projected_VORP_Per_Game,Projected_Season_VORP,Consensus_ADP_Rank,Consensus_ADP_Round_Pick,LPI_vs_ADP_Diff,Prospective_Grade_at_ADP
181,16.01,Jaylen Wright,RB,RB60,MIA,4.87,7.9497,-3.08,-49.3,192,16.12,11,46
182,16.02,Woody Marks,RB,RB61,HOU,4.87,7.9497,-3.08,-49.3,205,18.01,23,46
183,16.03,Will Shipley,RB,RB62,PHI,4.87,7.9497,-3.08,-49.3,212,18.08,29,46
184,16.04,Keaton Mitchell,RB,RB63,LAC,4.87,7.9497,-3.08,-49.3,227,19.11,43,46
185,16.05,Justice Hill,RB,RB64,BAL,4.87,7.9497,-3.08,-49.3,229,20.01,44,46
186,16.06,Blake Corum,RB,RB65,LAR,4.87,7.9497,-3.08,-49.3,230,20.02,44,46
187,16.07,DJ Giddens,RB,RB66,IND,4.87,7.9497,-3.08,-49.3,231,20.03,44,46
188,16.08,Kendre Miller,RB,RB67,NO,4.87,7.9497,-3.08,-49.3,234,20.06,46,46
189,16.09,Tahj Brooks,RB,RB68,CIN,4.87,7.9497,-3.08,-49.3,236,20.08,47,46
190,16.10,Roschon Johnson,RB,RB69,CHI,4.87,7.9497,-3.08,-49.3,240,20.12,50,46
191,16.11,Brashard Smith,RB,RB70,KC,4.87,7.9497,-3.08,-49.3,245,21.05,54,46
192,16.12,Miles Sanders,RB,RB71,,4.87,7.9497,-3.08,-49.3,246,21.06,54,46
193,17.01,Raheem Mostert,RB,RB72,LV,4.87,7.9497,-3.08,-49.3,248,21.08,55,46
194,17.02,Jarquez Hunter,RB,RB73,LAR,4.87,7.9497,-3.08,-49.3,251,21.11,57,46
195,17.03,Chris Rodriguez Jr.,RB,RB74,JAC,4.87,7.9497,-3.08,-49.3,253,22.01,58,46
196,17.04,Dameon Pierce,RB,RB75,PHI,4.87,7.9497,-3.08,-49.3,265,23.01,69,46
197,17.05,Spencer Brown,RB,RB76,,4.87,7.9497,-3.08,-49.3,282,24.06,85,46
198,17.06,Sean Tucker,RB,RB77,TB,4.87,7.9497,-3.08,-49.3,283,24.07,85,46
199,17.07,Elijah Collins,RB,RB78,,4.87,7.9497,-3.08,-49.3,284,24.08,85,46
200,17.08,Kenny Gainwell,RB,RB79,TB,4.87,7.9497,-3.08,-49.3,285,24.09,85,46
201,17.09,Brian Herrien,RB,RB80,,4.87,7.9497,-3.08,-49.3,286,24.10,85,46
202,17.10,Elijah Mitchell,RB,RB81,PHI,4.87,7.9497,-3.08,-49.3,288,24.12,86,46
203,17.11,Antonio Gibson,RB,RB82,,4.87,7.9497,-3.08,-49.3,290,25.02,87,46
204,17.12,Devin Singletary,RB,RB83,NYG,4.87,7.9497,-3.08,-49.3,291,25.03,87,46
205,18.01,MarShawn Lloyd,RB,RB84,GB,4.87,7.9497,-3.08,-49.3,294,25.06,89,46
206,18.02,LeVante Bellamy,RB,RB85,,4.87,7.9497,-3.08,-49.3,297,25.09,91,46
207,18.03,Emanuel Wilson,RB,RB86,SEA,4.87,7.9497,-3.08,-49.3,300,25.12,93,46
208,18.04,Devin Neal,RB,RB87,NO,4.87,7.9497,-3.08,-49.3,301,26.01,93,46
209,18.05,Trevor Etienne,RB,RB88,CAR,4.87,7.9497,-3.08,-49.3,302,26.02,93,46
210,18.06,Deshaun Fenwick,RB,RB89,,4.87,7.9497,-3.08,-49.3,304,26.04,94,46
211,18.07,Devwah Whaley,RB,RB90,,4.87,7.9497,-3.08,-49.3,306,26.06,95,46
212,18.08,AJ Dillon,RB,RB91,CAR,4.87,7.9497,-3.08,-49.3,313,27.01,101,46
213,18.09,Isaiah Spiller,RB,RB92,,4.87,7.9497,-3.08,-49.3,314,27.02,101,46
214,18.10,Jaleel McLaughlin,RB,RB93,DEN,4.87,7.9497,-3.08,-49.3,317,27.05,103,46
215,18.11,Samaje Perine,RB,RB94,CIN,4.87,7.9497,-3.08,-49.3,321,27.09,106,46
216,18.12,Jordan James,RB,RB95,SF,4.87,7.9497,-3.08,-49.3,323,27.11,107,46
217,19.01,Ty Johnson,RB,RB96,BUF,4.87,7.9497,-3.08,-49.3,334,28.10,117,46
218,19.02,Nick Ralston,RB,RB97,,4.87,7.9497,-3.08,-49.3,336,28.12,118,46
219,19.03,Lorenzo Lingard,RB,RB98,,4.87,7.9497,-3.08,-49.3,337,29.01,118,46
220,19.04,Phillip Lindsay,RB,RB99,,4.87,7.9497,-3.08,-49.3,342,29.06,122,46
221,19.05,Ty Montgomery II,RB,RB100,,4.87,7.9497,-3.08,-49.3,350,30.02,129,46
222,19.06,Bo Scarbrough,RB,RB101,,4.87,7.9497,-3.08,-49.3,367,31.07,145,46
223,19.07,Elijah Young,RB,RB102,,4.87,7.9497,-3.08,-49.3,370,31.10,147,46
224,19.08,Scottie Phillips,RB,RB103,,4.87,7.9497,-3.08,-49.3,374,32.02,150,46
225,19.09,Audric Estime,RB,RB104,NO,4.87,7.9497,-3.08,-49.3,385,33.01,160,46
226,19.10,Marvin Mims Jr.,WR,WR59,DEN,5.67,8.7782,-3.11,-49.8,147,13.03,-79,44
227,19.11,Daniel Jones,QB,QB34,IND,12.1,15.2152,-3.12,-49.9,255,22.03,28,40
228,19.12,Harold Fannin Jr.,TE,TE31,CLE,3.42,6.5682,-3.15,-50.4,276,23.12,48,46
229,20.01,Luther Burden III,WR,WR60,CHI,5.6,8.7782,-3.18,-50.9,151,13.07,-78,43
230,20.02,Spencer Rattler,QB,QB35,NO,12.0,15.2152,-3.22,-51.5,260,22.08,30,40
231,20.03,Kirk Cousins,QB,QB36,LV,11.96,15.2152,-3.26,-52.2,272,23.08,41,40
232,20.04,Juwan Johnson,TE,TE32,NO,3.29,6.5682,-3.28,-52.5,280,24.04,48,46
233,20.05,Tyler Shough,QB,QB37,NO,11.92,15.2152,-3.3,-52.8,295,25.07,62,40
234,20.06,Adam Thielen,WR,WR61,,5.46,8.7782,-3.32,-53.1,165,14.09,-69,43
235,20.07,Jimmy Garoppolo,QB,QB38,LAR,11.88,15.2152,-3.34,-53.4,328,28.04,93,39
236,20.08,Ricky Pearsall,WR,WR62,SF,5.41,8.7782,-3.37,-53.9,79,7.07,-157,21
237,20.09,Dillon Gabriel,QB,QB39,CLE,11.85,15.2152,-3.37,-53.9,329,28.05,92,39
238,20.10,DeAndre Hopkins,WR,WR63,BAL,5.4,8.7782,-3.38,-54.1,169,15.01,-69,43
